,index,carat,cut,color,clarity,depth,table,price,x,y,z
7600,33296,0.31,2,4,3,63.2,54.0,462,4.31,4.33,2.73
7601,28268,0.27,3,4,4,62.3,55.0,361,4.14,4.18,2.59
7602,16726,0.33,3,5,3,63.0,57.0,610,4.41,4.39,2.77
7603,27458,2.03,5,2,4,58.8,59.0,18115,8.23,8.28,4.85
7604,22220,1.55,4,5,3,61.8,59.0,10277,7.45,7.38,4.58
7605,30587,0.31,3,1,6,61.2,55.0,734,4.37,4.42,2.69
7606,16408,1.5,1,4,4,68.5,66.0,6552,6.87,6.76,4.67
7607,53617,0.3,5,1,3,61.0,61.0,552,4.27,4.29,2.61
7608,8565,0.9,5,4,3,62.2,58.0,4435,6.15,6.2,3.84
7609,28800,0.27,5,2,7,61.3,57.0,682,4.15,4.18,2.55
7610,17362,1.02,3,4,5,62.0,55.0,6968,6.4,6.53,4.01
7611,38630,0.31,4,6,5,62.3,59.0,489,4.29,4.35,2.69
7612,7891,1.0,5,2,4,60.6,61.0,4312,6.39,6.44,3.89
7613,17419,1.13,3,6,5,61.8,57.0,6980,6.66,6.7,4.13
7614,26779,2.01,4,6,6,60.5,60.0,16626,8.15,8.17,4.94
7615,1788,0.82,2,2,4,61.8,56.0,3050,5.95,5.99,3.69
7616,2740,0.61,3,3,8,61.5,55.0,3248,5.47,5.53,3.38
7617,52231,0.72,4,5,6,61.4,57.0,2484,5.79,5.75,3.54
7618,9538,1.01,5,5,3,58.5,56.0,4619,6.6,6.69,3.89
7619,38728,0.4,3,4,7,62.1,53.0,1043,4.75,4.79,2.96
7620,4817,0.91,4,2,4,61.1,59.0,3703,6.2,6.24,3.8
7621,6427,0.9,3,4,4,61.4,56.0,4044,6.19,6.23,3.81
7622,45616,0.55,5,1,3,60.7,58.0,1692,5.24,5.3,3.2
7623,5908,0.81,3,2,3,61.9,56.0,3935,5.97,6.02,3.71
7624,15618,1.51,2,6,3,63.8,59.0,6266,7.27,7.21,4.62
7625,33855,0.3,4,2,6,59.2,59.0,844,4.41,4.37,2.6
7626,36251,0.41,4,2,6,59.8,60.0,935,4.83,4.87,2.9
7627,32730,0.31,3,3,6,62.6,57.0,802,4.33,4.29,2.7
7628,29776,0.3,4,6,7,62.8,59.0,709,4.29,4.24,2.68
7629,27047,0.32,3,5,8,61.8,55.0,645,4.38,4.42,2.72
7630,50902,0.65,5,5,7,61.6,58.0,2318,5.57,5.62,3.42
7631,4034,1.0,3,4,4,60.3,57.0,3528,6.51,6.45,3.91
7632,48535,0.46,3,4,2,61.7,56.0,1987,4.97,5.01,3.08
7633,47107,0.7,4,7,3,63.0,56.0,1827,5.66,5.61,3.55
7634,15404,1.02,4,4,6,62.1,59.0,6169,6.47,6.41,4.0
7635,9100,1.01,4,4,3,63.0,58.0,4525,6.35,6.29,3.98
7636,18152,1.4,4,4,4,62.0,60.0,7357,7.16,7.1,4.42
7637,31882,0.3,4,4,5,59.6,59.0,776,4.38,4.34,2.6
7638,9025,1.0,5,6,5,63.3,55.0,4516,6.39,6.34,4.03
7639,49379,0.73,3,7,6,62.3,55.0,2101,5.74,5.78,3.59
7640,21287,1.7,3,5,4,61.2,56.0,9444,7.71,7.64,4.7
7641,6558,1.07,4,6,3,58.4,60.0,4075,6.78,6.68,3.93
7642,23947,1.56,3,5,3,62.2,55.0,12082,7.41,7.45,4.62
7643,26341,0.32,3,4,5,62.1,55.0,645,4.4,4.42,2.74
7644,13328,1.11,3,1,4,62.2,57.0,5501,6.66,6.62,4.12
7645,35558,0.35,4,4,5,61.7,61.0,906,4.52,4.49,2.78
7646,7234,0.9,1,6,7,63.5,57.0,4194,5.98,6.09,3.83
7647,9441,0.9,3,5,5,61.6,56.0,4592,6.17,6.13,3.79
7648,13980,1.1,3,3,6,58.6,57.0,5692,6.82,6.8,3.99
7649,48303,0.31,2,1,3,63.8,57.0,533,4.29,4.33,2.75
7650,6576,1.0,4,2,4,62.0,59.0,4077,6.43,6.3,3.95
7651,7918,0.9,2,2,6,64.2,59.0,4315,6.02,6.1,3.89
7652,50650,0.31,2,2,3,63.5,55.0,544,4.31,4.35,2.75
7653,15982,1.21,1,4,3,64.6,60.0,6397,6.69,6.62,4.3
7654,31564,0.31,3,1,8,62.4,56.0,766,4.34,4.38,2.72
7655,3161,0.92,2,1,4,57.8,63.0,3335,6.36,6.4,3.69
7656,29419,0.42,5,5,3,62.9,57.0,700,4.76,4.84,3.02
7657,21080,1.01,3,2,8,62.8,56.0,9254,6.39,6.34,4.0
7658,41602,0.27,3,5,3,61.6,57.0,393,4.13,4.15,2.55
7659,22719,1.67,4,6,6,61.9,56.0,10736,7.64,7.6,4.72
7660,44506,0.52,3,3,6,62.5,54.0,1600,5.14,5.17,3.22
7661,7078,0.33,4,5,5,62.1,59.0,579,4.43,4.46,2.76
7662,38448,0.35,3,5,2,60.9,57.0,1028,4.58,4.6,2.8
7663,3597,0.76,3,5,5,61.6,56.0,3424,5.85,5.9,3.62
7664,32226,0.31,3,4,7,62.5,54.0,789,4.34,4.37,2.72
7665,21445,1.5,5,2,4,62.1,59.0,9548,7.26,7.33,4.53
7666,48169,0.79,2,3,4,64.3,60.0,1943,5.82,5.75,3.72
7667,13278,1.01,2,3,6,57.3,62.0,5487,6.63,6.59,3.79
7668,9284,1.01,2,2,4,60.2,60.0,4566,6.37,6.42,3.85
7669,52789,0.72,3,3,6,61.9,54.0,2568,5.77,5.74,3.56
7670,51914,0.71,5,3,3,61.8,58.0,2436,5.72,5.81,3.56
7671,28516,0.31,3,1,5,62.0,57.0,673,4.33,4.35,2.69
7672,2081,1.01,2,5,1,63.2,58.0,3110,6.33,6.39,4.02
7673,50989,0.31,3,4,6,61.6,55.0,544,4.37,4.39,2.7
7674,53560,0.71,4,4,6,61.9,62.0,2694,5.72,5.69,3.53
7675,45230,0.58,3,3,6,61.5,57.0,1657,5.34,5.39,3.3
7676,53367,0.7,4,2,3,58.6,60.0,2657,5.78,5.75,3.38
7677,4053,0.35,3,5,6,61.2,56.0,571,4.53,4.56,2.78
7678,29247,0.38,3,5,3,61.2,56.0,697,4.7,4.74,2.89
7679,8530,0.9,5,5,5,62.5,58.0,4428,6.09,6.13,3.82
7680,51926,0.61,3,5,2,62.0,54.4,2438,5.44,5.47,3.38
7681,21749,1.55,5,5,3,61.6,54.0,9818,7.41,7.47,4.58
7682,46919,0.52,3,4,5,62.4,56.0,1815,5.15,5.11,3.2
7683,53120,0.7,3,2,3,60.2,58.0,2617,5.75,5.78,3.47
7684,45516,0.58,3,2,6,61.7,57.0,1683,5.35,5.42,3.32
7685,13734,0.27,5,3,7,61.8,55.0,604,4.13,4.16,2.56
7686,49590,0.53,5,4,7,58.9,60.0,2136,5.23,5.3,3.1
7687,50383,0.7,4,5,6,61.0,59.0,2251,5.72,5.65,3.47
7688,37682,0.38,3,4,7,61.7,55.0,993,4.67,4.7,2.89
7689,49839,0.71,3,3,4,61.6,56.0,2168,5.73,5.67,3.51
7690,40849,0.56,3,4,4,61.9,54.0,1173,5.29,5.34,3.29
7691,38054,0.4,3,3,8,62.2,55.0,1012,4.75,4.77,2.96
7692,52993,1.29,1,5,1,67.7,62.0,2596,6.69,6.59,4.5
7693,36557,0.4,4,2,3,62.6,59.0,945,4.71,4.68,2.94
7694,5685,1.01,1,7,6,59.6,62.0,3886,6.54,6.49,3.88
7695,35248,0.3,5,4,2,62.9,58.0,895,4.21,4.25,2.66
7696,6956,1.41,1,5,1,64.7,58.0,4145,7.05,7.0,4.55
7697,22868,1.7,4,6,6,62.4,58.0,10910,7.61,7.56,4.73
7698,3296,0.71,5,1,6,61.9,59.0,3366,5.68,5.72,3.53
7699,523,0.73,5,4,5,62.0,57.0,2825,5.75,5.8,3.58
7700,10636,1.2,3,7,3,61.6,57.0,4831,6.79,6.87,4.21
7701,12883,1.22,4,6,3,62.1,59.0,5368,6.8,6.86,4.24
7702,45637,0.25,5,4,7,61.8,57.0,525,4.04,4.07,2.5
7703,40832,0.4,3,4,8,61.5,57.0,1172,4.74,4.76,2.92
7704,29728,0.31,5,4,8,62.9,58.0,707,4.28,4.3,2.7
7705,29577,0.41,4,2,3,61.2,59.0,705,4.78,4.82,2.94
7706,49545,0.54,5,4,2,62.5,58.0,2128,5.19,5.27,3.27
7707,29788,0.3,4,1,3,60.6,60.0,709,4.32,4.3,2.61
7708,41364,0.65,4,6,4,60.7,58.0,1219,5.65,5.62,3.42
7709,31563,0.31,3,1,8,61.6,56.0,766,4.34,4.38,2.69
7710,5343,0.91,3,3,4,62.4,57.0,3812,6.18,6.22,3.87
7711,9354,1.03,3,5,3,59.7,55.0,4585,6.6,6.64,3.95
7712,36001,0.42,3,4,5,62.7,54.0,921,4.8,4.83,3.02
7713,18380,0.31,4,4,5,59.9,59.0,617,4.44,4.41,2.65
7714,34127,0.42,5,4,6,62.1,55.0,854,4.8,4.83,2.99
7715,44292,0.52,4,4,6,62.0,58.0,1577,5.2,5.16,3.21
7716,34291,0.3,3,3,7,62.2,53.0,857,4.3,4.32,2.68
7717,48623,0.59,5,3,3,63.4,54.0,2000,5.35,5.4,3.41
7718,5657,0.9,5,3,3,63.1,58.0,3881,6.18,6.12,3.88
7719,10163,1.05,2,3,3,57.9,62.0,4729,6.68,6.73,3.88
7720,13641,1.1,3,5,3,62.7,57.0,5583,6.6,6.63,4.15
7721,20903,1.06,3,3,8,62.1,57.0,9118,6.54,6.5,4.05
7722,26774,2.04,5,6,6,61.0,61.0,16616,8.08,8.14,4.95
7723,45793,0.51,5,4,5,63.4,57.0,1709,5.08,5.04,3.21
7724,18664,1.34,4,5,6,62.3,60.0,7630,7.05,7.02,4.38
7725,35296,0.3,4,5,6,61.8,60.0,473,4.26,4.31,2.65
7726,46023,0.57,3,2,6,60.8,56.0,1728,5.35,5.4,3.27
7727,27950,0.3,5,4,3,61.0,58.0,432,4.3,4.32,2.63
7728,48102,0.5,4,4,8,59.6,60.0,1935,5.18,5.15,3.08
7729,20212,1.16,3,4,8,62.0,56.0,8646,6.71,6.75,4.17
7730,743,0.33,4,3,4,63.0,58.0,557,4.42,4.4,2.78
7731,31430,0.3,3,5,2,62.3,54.0,764,4.34,4.36,2.71
7732,18498,1.51,1,5,6,64.9,53.0,7534,7.28,7.24,4.71
7733,6676,0.9,5,3,3,62.8,59.0,4099,6.1,6.16,3.85
7734,26473,1.52,3,3,5,62.2,55.0,16055,7.29,7.41,4.57
7735,35567,0.35,3,3,6,62.3,55.0,906,4.56,4.53,2.83
7736,42298,0.32,4,5,6,61.4,60.0,505,4.39,4.41,2.7
7737,27875,0.44,3,5,4,62.3,54.0,654,4.89,4.93,3.06
7738,34141,0.33,3,3,6,61.3,56.0,854,4.47,4.43,2.73
7739,38310,0.46,3,7,7,61.8,56.0,1018,4.97,4.93,3.06
7740,3068,0.73,4,2,5,60.9,61.0,3311,5.81,5.79,3.53
7741,5012,1.1,4,3,1,59.8,61.0,3745,6.7,6.65,3.99
7742,24211,2.1,4,7,6,58.3,54.0,12401,8.49,8.45,4.94
7743,27878,0.42,3,6,3,62.3,54.0,654,4.82,4.84,3.01
7744,14858,1.22,3,5,3,61.9,56.0,5985,6.86,6.83,4.24
7745,41700,0.42,4,1,8,62.8,59.0,1241,4.76,4.73,2.98
7746,42484,0.53,4,1,4,59.3,61.0,1318,5.29,5.26,3.13
7747,26775,2.07,3,7,8,62.7,54.0,16617,8.12,8.17,5.11
7748,22594,1.6,5,1,4,60.6,58.0,10646,7.55,7.61,4.59
7749,27483,2.2,3,4,4,62.0,57.0,18168,8.31,8.27,5.14
7750,30596,0.31,4,1,6,60.7,59.0,734,4.35,4.38,2.65
7751,31344,0.27,3,3,8,62.0,55.0,760,4.14,4.16,2.57
7752,27838,0.4,3,4,4,60.6,56.0,651,4.82,4.79,2.91
7753,33506,0.32,3,3,6,62.5,56.0,828,4.4,4.37,2.74
7754,53661,0.73,3,2,3,61.6,57.0,2707,5.81,5.78,3.57
7755,46856,0.54,5,3,5,61.0,58.0,1813,5.24,5.25,3.2
7756,9242,1.01,3,5,3,62.4,53.0,4559,6.42,6.47,4.02
7757,1618,0.81,3,2,4,61.8,56.0,3013,6.0,5.97,3.7
7758,34316,0.31,5,3,7,61.4,56.0,859,4.37,4.4,2.69
7759,19382,1.13,3,4,5,61.5,56.0,8051,6.71,6.73,4.13
7760,3759,0.86,3,2,3,62.3,54.0,3456,6.13,6.07,3.8
7761,34711,0.37,4,6,7,62.4,58.0,874,4.58,4.55,2.85
7762,18063,1.01,2,2,8,64.2,57.0,7293,6.3,6.34,4.06
7763,49341,0.71,2,5,3,63.5,57.0,2096,5.63,5.67,3.59
7764,36909,0.42,3,6,2,61.7,55.0,961,4.83,4.86,2.99
7765,24443,1.25,3,3,7,62.2,56.0,12698,6.93,6.89,4.3
7766,6585,1.09,5,6,4,63.8,57.0,4078,6.5,6.55,4.16
7767,6888,0.9,4,1,4,61.2,62.0,4133,6.22,6.07,3.76
7768,43022,0.59,3,3,4,60.1,57.0,1371,5.45,5.49,3.29
7769,5130,1.0,1,2,4,64.6,54.0,3763,6.33,6.27,4.07
7770,16062,1.01,5,3,6,62.8,59.0,6416,6.33,6.41,4.0
7771,36740,0.32,3,4,2,60.9,56.0,954,4.41,4.43,2.69
7772,283,0.72,4,4,6,62.9,57.0,2795,5.73,5.65,3.58
7773,23679,1.22,3,3,8,61.9,53.0,11730,6.9,6.92,4.28
7774,41534,0.42,3,4,7,61.7,55.0,1235,4.84,4.78,2.97
7775,1930,0.71,5,1,6,61.8,55.0,3084,5.72,5.74,3.54
7776,27422,2.01,5,5,3,58.2,63.0,18027,8.32,8.23,4.82
7777,39331,0.51,3,1,1,62.1,56.0,1071,5.15,5.06,3.17
7778,10441,1.01,3,2,4,61.1,59.0,4787,6.53,6.47,3.97
7779,45575,0.52,4,4,5,62.4,59.0,1689,5.13,5.16,3.21
7780,44209,0.51,3,1,3,61.9,54.0,1569,5.14,5.2,3.19
7781,24780,1.71,5,3,3,63.3,53.0,13152,7.54,7.59,4.79
7782,49882,0.7,5,3,4,56.9,62.0,2177,5.87,5.9,3.35
7783,14898,1.7,5,3,1,63.1,56.0,5998,7.62,7.51,4.78
7784,10815,1.01,2,5,4,63.0,61.0,4865,6.32,6.29,3.97
7785,17212,1.01,4,4,5,61.7,56.0,6882,6.53,6.46,4.01
7786,5046,0.31,3,5,3,61.4,55.0,573,4.44,4.36,2.7
7787,21632,1.51,5,2,4,58.8,58.0,9727,7.53,7.61,4.45
7788,41753,0.67,5,2,4,63.1,58.0,1244,5.62,5.53,3.53
7789,19316,1.01,3,4,8,61.1,57.0,8029,6.49,6.54,3.98
7790,43206,0.52,3,7,3,62.3,56.0,1395,5.12,5.16,3.2
7791,10648,1.01,2,5,3,63.7,60.0,4836,6.35,6.3,4.03
7792,47546,0.52,3,3,5,62.0,57.0,1872,5.16,5.13,3.19
7793,24163,1.71,4,5,3,62.8,58.0,12338,7.62,7.53,4.76
7794,16002,1.47,4,6,4,61.6,59.0,6403,7.29,7.32,4.5
7795,32460,0.36,3,4,8,61.8,54.0,794,4.59,4.61,2.84
7796,8296,1.13,3,6,4,61.7,57.0,4385,6.7,6.59,4.13
7797,23012,0.3,4,5,5,62.1,59.0,630,4.28,4.25,2.65
7798,5823,0.94,3,2,4,61.1,55.0,3915,6.29,6.34,3.86
7799,49211,0.7,2,2,3,59.8,64.0,2079,5.75,5.69,3.42
7800,27592,2.06,4,4,3,61.5,58.0,18439,8.2,8.15,5.03
7801,47436,0.55,3,4,6,60.4,56.0,1854,5.38,5.31,3.23
7802,35339,0.42,4,5,3,60.9,58.0,898,4.85,4.84,2.95
7803,43301,0.52,1,6,8,60.4,66.0,1401,5.26,5.2,3.16
7804,29741,0.32,3,5,7,61.6,54.0,708,4.42,4.45,2.73
7805,30785,0.33,5,1,5,61.6,53.0,742,4.45,4.48,2.75
7806,10508,1.01,5,1,4,60.5,58.0,4799,6.45,6.5,3.92
7807,1182,0.9,5,2,4,58.7,63.0,2930,6.23,6.2,3.65
7808,25699,0.35,4,1,3,61.8,59.0,644,4.54,4.56,2.81
7809,18346,1.01,3,3,5,62.0,57.0,7465,6.39,6.45,3.98
7810,16454,1.21,4,5,3,59.8,58.0,6573,6.95,6.9,4.14
7811,14115,1.0,4,1,3,59.2,62.0,5723,6.54,6.49,3.86
7812,16840,1.01,5,3,5,61.0,58.0,6719,6.47,6.54,3.97
7813,38891,0.43,5,2,5,61.9,53.0,1051,4.86,4.89,3.02
7814,39468,0.41,3,2,5,61.8,57.0,1079,4.76,4.79,2.95
7815,52656,0.71,5,4,6,63.3,56.0,2549,5.67,5.74,3.61
7816,34165,0.33,3,4,5,61.4,54.0,854,4.48,4.44,2.74
7817,35243,0.4,5,3,5,63.1,56.0,895,4.68,4.7,2.96
7818,6365,0.32,4,5,3,61.9,59.0,576,4.41,4.38,2.72
7819,23288,2.08,2,6,4,57.0,63.0,11313,8.49,8.45,4.83
7820,38232,0.4,3,5,5,62.7,59.0,1017,4.74,4.7,2.96
7821,5923,0.93,3,3,4,61.9,57.0,3941,6.21,6.25,3.86
7822,52794,0.7,2,2,3,63.3,60.0,2569,5.56,5.59,3.53
7823,34173,0.33,4,4,5,61.6,60.0,854,4.46,4.41,2.73
7824,13124,1.01,2,2,6,63.8,59.0,5430,6.26,6.22,3.98
7825,39064,0.4,3,4,7,61.2,56.0,1059,4.74,4.8,2.92
7826,32701,0.31,3,3,6,61.6,55.0,802,4.37,4.36,2.69
7827,20214,1.01,3,4,7,61.1,56.0,8647,6.51,6.49,3.97
7828,45498,0.58,3,6,7,62.1,56.0,1680,5.32,5.34,3.31
7829,13818,1.12,2,2,3,64.3,57.0,5630,6.56,6.5,4.2
7830,47368,0.52,5,1,6,62.9,59.0,1847,5.11,5.13,3.22
7831,23571,1.51,3,5,5,62.6,56.0,11580,7.28,7.32,4.57
7832,14050,0.32,4,5,6,62.7,58.0,605,4.35,4.33,2.72
7833,15766,1.0,4,1,6,61.2,61.0,6303,6.39,6.35,3.9
7834,20973,1.18,4,4,8,58.2,62.0,9188,6.92,6.89,4.02
7835,44110,0.5,5,3,5,61.9,62.0,1558,5.02,5.06,3.12
7836,38284,0.28,5,3,5,62.1,59.0,487,4.16,4.21,2.6
7837,12932,1.02,5,5,6,62.4,57.0,5383,6.43,6.35,3.99
7838,22704,0.34,3,3,3,59.4,57.0,630,4.58,4.54,2.71
7839,3461,0.72,3,6,6,60.3,57.0,3391,5.82,5.86,3.52
7840,13048,0.3,3,3,6,62.1,53.3,601,4.3,4.32,2.68
7841,35404,0.32,3,3,5,61.9,56.0,900,4.4,4.36,2.71
7842,8836,1.02,5,2,4,63.3,59.0,4478,6.42,6.32,4.03
7843,47878,0.52,3,4,8,62.3,55.0,1911,5.12,5.16,3.2
7844,36161,0.38,3,4,8,61.9,55.6,929,4.64,4.67,2.88
7845,52485,0.56,3,3,8,61.1,56.0,2522,5.35,5.37,3.27
7846,44501,0.6,5,3,3,63.2,57.0,1599,5.39,5.33,3.39
7847,51748,0.7,5,6,5,61.4,57.0,2405,5.71,5.74,3.52
7848,29399,0.34,3,2,5,59.1,57.0,698,4.55,4.58,2.7
7849,49089,0.51,5,2,8,60.0,58.0,2062,5.19,5.21,3.12
7850,13758,1.29,3,7,3,61.6,58.0,5607,6.96,6.99,4.3
7851,50319,0.7,3,6,6,62.0,54.1,2240,5.7,5.73,3.55
7852,2527,0.7,5,3,8,60.5,60.0,3205,5.7,5.73,3.46
7853,13852,1.0,2,1,6,63.6,56.0,5645,6.38,6.27,4.02
7854,1484,0.74,3,1,3,61.5,56.0,2987,5.8,5.84,3.58
7855,11768,1.0,5,2,3,61.1,60.0,5082,6.42,6.47,3.94
7856,15170,1.29,3,6,4,61.9,57.0,6097,6.99,7.04,4.34
7857,28653,0.33,5,2,6,60.6,58.0,675,4.45,4.49,2.71
7858,3270,1.0,2,6,3,64.3,57.0,3360,6.29,6.25,4.03
7859,12788,1.19,3,6,3,63.7,57.0,5331,6.73,6.69,4.28
7860,10915,1.2,3,6,4,59.6,61.0,4890,6.95,6.97,4.15
7861,3610,0.9,2,3,3,64.3,57.0,3427,6.08,6.01,3.89
7862,30357,0.32,3,2,8,61.2,57.0,729,4.38,4.41,2.69
7863,37446,0.5,5,5,3,63.1,55.0,984,5.09,5.02,3.19
7864,16030,0.3,3,6,5,62.5,57.0,608,4.32,4.29,2.69
7865,52701,0.76,3,4,4,61.7,55.0,2553,5.87,5.9,3.63
7866,39845,0.3,4,1,8,59.6,61.0,1099,4.39,4.34,2.6
7867,48041,0.51,2,4,7,63.9,57.0,1925,5.06,5.08,3.24
7868,5865,0.78,5,1,5,61.5,57.0,3923,5.92,5.95,3.65
7869,50323,0.71,2,4,3,64.1,58.0,2240,5.6,5.63,3.6
7870,13966,1.02,4,3,3,60.1,60.0,5686,6.58,6.53,3.94
7871,2464,0.71,3,2,6,62.1,57.0,3191,5.71,5.75,3.56
7872,25655,2.01,3,6,3,61.9,56.0,14558,8.16,8.08,5.03
7873,43457,0.61,3,5,3,61.9,54.0,1416,5.44,5.48,3.38
7874,50227,0.54,3,3,8,61.6,56.0,2231,5.23,5.26,3.23
7875,45491,0.56,5,3,3,60.0,57.0,1679,5.41,5.38,3.24
7876,1314,0.72,3,3,6,62.6,56.0,2956,5.75,5.72,3.59
7877,53044,0.71,5,2,3,61.1,57.0,2606,5.69,5.73,3.49
7878,47756,0.5,3,2,6,60.4,56.0,1892,5.15,5.21,3.13
7879,42709,0.56,4,4,3,60.2,59.0,1340,5.34,5.36,3.22
7880,33680,0.3,3,2,8,61.3,54.0,837,4.34,4.37,2.67
7881,52373,0.72,5,5,3,60.3,55.0,2505,5.84,5.85,3.52
7882,11212,1.15,3,5,4,62.0,56.0,4959,6.75,6.68,4.16
7883,49147,0.72,2,6,6,63.3,59.0,2068,5.62,5.66,3.57
7884,14872,1.01,2,3,6,63.2,58.0,5988,6.33,6.36,4.01
7885,6651,0.9,4,2,3,62.7,62.0,4092,6.22,6.1,3.85
7886,42548,0.59,5,2,4,60.5,58.0,1325,5.43,5.51,3.31
7887,49249,0.71,1,1,3,55.5,62.0,2086,6.0,5.97,3.32
7888,210,0.7,5,3,6,63.6,57.0,2780,5.61,5.65,3.58
7889,47813,0.55,3,4,5,61.5,56.7,1902,5.25,5.28,3.24
7890,5540,0.73,5,1,5,62.2,56.0,3856,5.72,5.75,3.57
7891,20613,1.01,5,2,8,63.3,58.0,8912,6.39,6.31,4.02
7892,13857,1.0,4,1,3,60.3,60.0,5645,6.31,6.26,3.79
7893,18659,1.31,4,3,3,62.6,58.0,7625,6.98,7.02,4.38
7894,52201,0.67,2,3,5,59.8,60.3,2479,5.62,5.69,3.38
7895,12376,0.26,2,2,7,59.4,61.0,597,4.13,4.15,2.46
7896,4377,0.91,4,3,4,61.7,58.0,3609,6.22,6.29,3.86
7897,34162,0.33,3,4,5,61.7,56.0,854,4.47,4.44,2.75
7898,11900,1.13,3,2,4,61.8,57.0,5120,6.68,6.65,4.12
7899,28959,0.31,5,6,6,60.8,60.0,435,4.37,4.42,2.67
7900,40780,0.31,4,1,2,60.2,59.0,1167,4.39,4.42,2.65
7901,18054,0.3,3,6,2,62.5,56.0,615,4.26,4.28,2.67
7902,5517,1.0,2,6,3,63.8,58.0,3850,6.28,6.32,4.02
7903,35149,0.32,3,2,8,62.3,55.0,890,4.37,4.4,2.73
7904,33019,0.33,3,2,8,61.2,56.0,814,4.46,4.5,2.74
7905,38080,0.3,4,2,8,61.4,60.0,1013,4.28,4.25,2.62
7906,34376,0.41,5,3,6,62.6,58.0,863,4.75,4.81,2.99
7907,20740,1.31,4,4,6,60.3,59.0,8979,7.12,7.08,4.28
7908,39108,0.41,4,5,5,62.6,60.0,1061,4.77,4.75,2.98
7909,35166,0.31,3,4,2,61.4,55.0,891,4.35,4.38,2.68
7910,4609,0.9,5,2,4,62.4,57.0,3662,6.13,6.17,3.84
7911,48104,0.5,4,4,8,61.6,60.0,1935,5.13,5.1,3.15
7912,35446,0.32,3,2,6,61.7,55.0,900,4.42,4.36,2.71
7913,12457,1.06,4,5,5,62.1,60.0,5247,6.52,6.5,4.04
7914,19354,0.3,2,2,8,63.0,58.0,622,4.27,4.34,2.71
7915,7342,1.01,2,4,4,63.7,56.0,4211,6.26,6.34,4.01
7916,9008,1.01,5,5,3,63.1,60.0,4513,6.41,6.37,4.03
7917,34885,0.38,3,4,8,60.0,56.0,879,4.72,4.76,2.84
7918,26879,1.71,4,4,5,62.7,58.0,16813,7.66,7.62,4.79
7919,20018,0.32,4,4,4,61.0,59.0,421,4.36,4.42,2.68
7920,17596,1.22,3,2,3,61.7,56.0,7085,6.88,6.92,4.26
7921,28722,0.31,4,2,6,62.7,58.0,680,4.31,4.33,2.71
7922,17922,1.39,4,7,5,60.8,58.0,7239,7.26,7.21,4.4
7923,23846,1.23,3,3,8,61.9,55.0,11927,6.92,6.89,4.27
7924,25758,1.51,4,2,6,60.7,60.0,14709,7.37,7.46,4.5
7925,26373,2.02,5,5,4,59.9,55.0,15851,8.17,8.28,4.93
7926,19955,1.21,4,4,6,61.0,58.0,8504,6.88,6.82,4.18
7927,5005,0.9,1,2,3,64.9,56.0,3743,6.12,6.18,3.99
7928,30627,0.26,3,5,5,62.6,56.0,448,4.07,4.09,2.55
7929,43278,0.3,5,4,4,63.3,57.0,506,4.28,4.25,2.7
7930,46340,0.5,2,1,6,63.7,56.0,1758,5.09,5.05,3.23
7931,24249,1.58,5,5,8,60.9,58.0,12459,7.56,7.65,4.63
7932,24362,0.42,3,7,5,62.3,53.0,636,4.83,4.86,3.02
7933,640,0.7,4,3,6,58.7,61.0,2842,5.8,5.72,3.38
7934,27102,2.0,5,5,3,62.7,56.0,17247,7.98,8.02,5.02
7935,7978,0.71,3,1,8,61.6,54.0,4325,5.74,5.78,3.55
7936,41604,0.32,3,7,6,62.2,57.0,393,4.36,4.38,2.72
7937,18842,1.51,2,5,4,63.1,60.0,7723,7.23,7.28,4.58
7938,7294,0.9,3,5,5,60.9,57.0,4201,6.2,6.24,3.79
7939,47629,0.51,3,1,5,62.3,56.0,1882,5.09,5.12,3.18
7940,2875,0.78,3,2,6,62.0,55.0,3276,5.95,5.89,3.67
7941,48256,0.58,3,3,5,61.4,56.0,1953,5.38,5.4,3.31
7942,12189,1.09,4,1,4,60.3,60.0,5186,6.68,6.61,4.01
7943,13154,1.01,2,1,3,63.8,58.0,5443,6.34,6.38,4.06
7944,22411,1.23,5,4,7,61.3,57.0,10435,6.88,6.96,4.24
7945,33663,0.36,3,2,5,61.8,55.0,835,4.58,4.61,2.84
7946,48180,0.54,3,5,7,61.8,55.0,1944,5.24,5.21,3.23
7947,14285,1.06,4,5,6,62.0,58.0,5783,6.5,6.57,4.05
7948,18248,1.17,3,4,6,61.3,56.0,7413,6.79,6.81,4.17
7949,14720,0.3,3,4,5,62.5,57.0,605,4.29,4.32,2.69
7950,53134,0.93,5,1,1,63.4,60.0,2618,6.18,6.15,3.91
7951,27101,2.02,3,5,3,62.5,54.0,17245,8.07,8.1,5.05
7952,6034,0.32,3,6,7,62.2,53.0,575,4.42,4.45,2.76
7953,20761,1.05,3,4,8,60.4,54.0,9000,6.6,6.65,4.0
7954,41530,0.42,3,4,7,60.0,57.0,1235,4.86,4.84,2.91
7955,29446,0.34,3,2,6,61.5,56.0,702,4.48,4.5,2.76
7956,7128,0.9,2,2,3,60.7,63.0,4173,6.07,6.13,3.7
7957,1508,0.71,5,4,5,59.3,55.0,2994,5.88,5.95,3.51
7958,36459,0.31,3,1,6,62.7,55.0,942,4.34,4.31,2.71
7959,13588,1.01,5,5,6,62.8,59.0,5559,6.33,6.38,3.99
7960,40079,0.3,4,3,7,61.8,59.0,1114,4.29,4.26,2.64
